,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
Gravity,0,-1395.675067782069,20.662762874813122,0.0,0.9914108391272689,25.54345219538407,0.0,True,log
Visitation,1,-1925.049521963445,82.11465545864196,529.3744541813759,0.008589160731169871,29.887169853900755,22.5841797093096,True,log
Radiation,2,-2056.3193776317603,82.21390465714977,660.644309849691,1.4156120720087983e-10,19.810356193063715,16.332987008063522,True,log
