,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Gravity,0,-1406.0543999074189,30.51889536141107,0.0,0.9379167040021705,22.494881036687687,0.0,True,log
Visitation,1,-1469.9297263189408,69.7103110860669,63.875326411521996,0.06208329562415826,27.68621376353351,15.3896219741269,True,log
Radiation,2,-2110.862376874379,116.57122301336176,704.8079769669597,3.736712050894653e-10,21.58443430519456,10.569869676670745,True,log
