,rank,elpd_waic,p_waic,elpd_diff,weight,se,dse,warning,scale
Gravity,0,-1067.3857799717978,32.56702289956206,0.0,0.9843477122537412,17.666899606640563,0.0,True,log
Visitation,1,-1166.4773204327882,24.20941210854712,99.09154046099042,0.015652287870170693,15.994881376549516,10.219884094341378,True,log
Radiation,2,-1173.906373191903,74.36604366965814,106.52059322010568,0.0,13.752295999665586,8.029769515659014,True,log
