observed,visitation,radiation,gravity
7.0,0.0,0.013053385039321717,77.4173068594
9.0,0.0,0.013774445972529753,83.14874624170963
12.0,0.0,0.01511416989132004,88.72021876403831
12.0,0.0,0.015123860029082165,95.45670097974127
12.0,0.0,0.015972663517754906,95.53247180352055
13.0,0.0,0.016378346960538314,105.03029589990854
15.0,0.0,0.016380990908218342,118.52705760849679
15.0,0.0,0.018656444812225555,119.98512079363572
15.0,0.0,0.020561491166032595,122.39961373452132
16.0,0.0,0.02182872202002632,126.40618573069139
16.0,0.0,0.023735474044659734,147.0869486621587
17.0,0.0,0.025540213967755257,149.4146522193473
22.0,0.0,0.02683783938412266,152.50039497502192
24.0,0.0,0.028365458698848156,163.85047995902858
24.0,0.0,0.035315035561978333,168.81618288691254
25.0,0.0,0.038304113230213925,178.86830507183384
28.0,9.027406962818834,0.04912389038731495,181.89605158589515
29.0,9.027406962818835,0.05266579887369599,183.13142661881793
29.0,9.027406962818835,0.058466834118345724,187.93364537306198
32.0,9.027406962818835,0.05974414990647453,193.91755886572167
32.0,9.027406962818835,0.06231252132487842,198.77807300696472
38.0,9.027406962818835,0.06893579537552971,207.3014657344236
40.0,9.027406962818837,0.08097476921980166,209.79412245760213
42.0,9.027406962818837,0.08212852498189041,223.02721091061824
42.0,9.027406962818837,0.08822833392431842,227.22784641433776
43.0,9.027406962818837,0.1023310428162187,232.7042799750589
47.0,18.054813925637667,0.10247954360189136,233.81453511110544
47.0,18.05481392563767,0.10454371982097281,241.27821795531347
49.0,18.05481392563767,0.10639996128155017,246.50916962964138
50.0,18.05481392563767,0.11113374704351262,249.21420436700532
54.0,18.05481392563767,0.11732897908599096,255.86946878288
60.0,18.05481392563767,0.13402961581172285,256.6071494683797
61.0,18.05481392563767,0.16483336849667946,280.2498549128416
65.0,18.05481392563767,0.1834264806314261,291.4869691087226
66.0,18.05481392563767,0.19765513164126916,292.3198894404746
69.0,18.054813925637674,0.20333435616958037,295.00482724732035
77.0,18.054813925637674,0.2042336308487597,297.70550122930206
78.0,27.082220888456508,0.20849700110687266,307.806252718624
79.0,27.08222088845651,0.20908748894133833,309.5020725672729
84.0,36.10962785127534,0.26448298617038324,314.26288460724237
87.0,36.10962785127534,0.2707623140175978,323.2341077400824
89.0,36.10962785127534,0.2783409616960427,331.5462324031888
95.0,36.10962785127534,0.29444529672631614,335.5654588600744
100.0,36.10962785127535,0.3092154560507783,341.68557578931814
101.0,36.10962785127535,0.3355749508796767,343.04702287811415
107.0,45.13703481409418,0.3532712156110159,347.99181568946517
108.0,45.13703481409418,0.35941531586740477,358.1868075789014
114.0,45.13703481409418,0.37720444839850503,366.73487366858194
115.0,45.137034814094186,0.4029666974161091,370.6538239433929
116.0,54.16444177691301,0.41910279304659204,372.0141635518194
117.0,54.164441776913016,0.4780771394975743,389.24978413713876
118.0,54.16444177691302,0.5269798800933034,413.20952121482543
142.0,54.16444177691302,0.5480056273404914,421.5941857507901
150.0,54.16444177691302,0.5572335230930295,444.8064502350735
157.0,63.19184873973186,0.5606906010955452,458.55388552726697
162.0,72.21925570255068,0.6541467946780288,485.00286531445437
163.0,72.21925570255068,0.8602928199514746,489.72258665303457
169.0,81.24666266536953,0.879400941923262,492.3317880731226
190.0,81.24666266536954,0.9196783923869506,534.2209733703223
198.0,90.27406962818834,0.9332344599634421,552.7648883954212
199.0,90.27406962818837,1.199748633461134,559.5242348402641
211.0,90.27406962818837,1.376285806331492,568.8245562277858
216.0,99.3014765910072,2.0133306316516513,588.0404538492493
217.0,108.32888355382603,2.086349829030057,599.9818992136395
227.0,108.32888355382603,2.2821010097229766,601.6661799548217
243.0,117.35629051664486,2.394421357016314,610.4346156695387
244.0,117.35629051664486,2.6727738745378495,612.6826404800747
246.0,117.35629051664488,2.8341721200721683,613.4163060989957
252.0,126.38369747946369,3.6023855247501153,645.4815875671298
252.0,126.38369747946372,5.3666772913525636,704.8240555369046
270.0,135.41110444228252,5.641664595716924,753.4199133925899
271.0,135.41110444228255,5.881969368020237,797.3062152883139
280.0,144.4385114051014,7.241812822818239,890.5921848754141
349.0,153.4659183679202,7.854955890107002,970.6543144153452
382.0,171.5207322935579,8.378625135183592,972.735743705287
386.0,189.57554621919556,9.258396485524433,1020.4379258839988
394.0,198.60295318201437,12.69572481466214,1031.0895785592354
414.0,198.60295318201437,13.009910907927866,1043.5176775256866
434.0,207.63036014483325,14.4949670874348,1181.6237705072074
447.0,234.71258103328975,17.720157384804235,1266.9049897716643
459.0,261.7948019217463,19.733959679325572,1347.3919267376953
479.0,261.7948019217463,21.4984473508745,1366.6609257449893
494.0,288.8770228102028,42.33215965369089,1380.667291826285
555.0,334.014057624297,47.96516752700728,1395.240157600833
603.0,343.0414645871158,48.77162607705734,1419.7808478646136
635.0,361.09627851275343,60.13242786786059,1454.6179339302985
638.0,406.2333133268476,62.512747212065726,1517.916311705926
862.0,406.2333133268476,63.44797961492063,1617.1213716817085
1052.0,424.28812725248525,69.1008760331902,1886.9822973678204
1053.0,433.31553421530407,90.88023083454588,1910.0140687625767
1244.0,442.34294117812294,96.39097952199359,2330.1338280147206
1283.0,469.4251620665795,107.0468141916963,2337.711474111441
1328.0,487.4799759922171,112.3053271636543,2820.9420500556175
1405.0,523.5896038434925,131.01884557405506,2937.951714085617
1421.0,532.6170108063113,146.84712393693266,3118.8477060352207
1538.0,559.699231694768,158.7920124602531,3260.4011856629227
1553.0,622.8910804344996,241.290556236092,3291.13122401051
1560.0,704.1377430998692,243.61557649847398,3543.9951208087996
1955.0,1245.7821608689992,302.0906811263938,3601.0422159320037
2060.0,1390.220672274101,353.458082019864,3648.0017077054645
2105.0,1417.3028931625572,384.86916174681573,4099.320994380169
2118.0,2265.879147667528,423.7242437815499,4190.164215883824
2140.0,2356.153217295716,525.0019651182953,4291.642354576777
2249.0,2825.578379362296,600.3660852186305,4481.449650909165
3369.0,2942.9346698789404,615.0025565395805,4793.983072581737
3719.0,4486.621260520962,883.7601129236405,5632.2624901810605
5091.0,5127.567154881099,1060.6206398779275,5675.2671351344225
5165.0,5777.540456204056,1490.4320458897369,5897.203080215453
6786.0,7023.322617073055,1582.5830936990092,7025.384634771256
6899.0,8946.160300153468,1676.4025528946636,7154.486498730933
8504.0,9135.735846372661,2789.867584544796,7247.201768739003
9805.0,12268.246062470798,3212.3814947014557,7256.038367038122
10606.0,12385.602352987444,3245.774014168143,7378.162253909458
15361.0,15427.838499457392,4792.453761019154,9555.51123401239
15620.0,19111.020540287478,8927.235128500786,9689.865696094199
17165.0,20781.090828408964,9119.614465292067,10824.879317403831
22286.0,20907.474525888425,19699.10296063961,14559.33765858343
27602.0,26712.097202980938,45514.92781067068,23413.147240701604
34342.0,27786.358631556377,46910.42084468096,239534.4694562699
