,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Gravity,0,-1397.045137991414,22.032833084158256,0.0,0.991423264862716,25.71050229024978,0.0,True,log
Visitation,1,-1939.266617784519,96.33175127971595,542.2214797931048,0.008576736191309569,32.23304185185182,24.01221412857405,True,log
Radiation,2,-2090.252386725796,116.14691375118537,693.207248734382,0.0,20.754982363338005,17.06638413834054,True,log
