,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Gravity,0,-1082.658597140279,35.97998092038347,0.0,0.9817631879462643,18.156305350748603,0.0,True,log
Visitation,1,-1173.8926544097255,31.657637818079138,91.23405726944665,0.0182368116639649,15.433288515126746,11.058765165530977,True,log
Radiation,2,-1215.8095354369939,107.33008794505076,133.15093829671488,3.8977088223646206e-10,14.999721048802723,7.806939593941674,True,log
